_id,company_id,company_name,company_type,business_type_id,business_category,business_type,registered_capital,total_income,net_profit,total_assets,equity,liability,total_expense,debt_ratio,equity_ratio,debt_to_income_ratio,debt_to_equity_ratio,roa,roe,profit_margin,district
64b75d11aa2d4f22592dbb06,1.06E+11,14 ไอคอน จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,30000000,441408.28,-459352.13,49710957.88,29256396.24,20454561.64,900760.41,0.411469875,0.588530125,46.33932476,0.699148366,-0.924046024,-1.570091293,-104.0651367,เขตจอมทอง
64b75d11aa2d4f22592dbb07,1.06E+11,24 บีเคเค  จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,320000.04,297661.02,70114.94,-5999754.34,6069869.28,22339.02,86.5702699,-85.5702699,18.96833913,-1.011686302,424.5329455,-4.961220129,93.01905712,เขตสวนหลวง
64b75d11aa2d4f22592dbb08,1.06E+11,24 โรสเซส แมเนจเมนท์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1400000,307058.12,-777398.66,885383.99,-621432.26,1506816.25,1084456.78,1.701878809,-0.701878809,4.90726723,-2.424747389,-87.80355967,125.0978924,-253.1763889,เขตราชเทวี
64b75d11aa2d4f22592dbb09,1.06E+11,45 เสนาร่วม จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,5000000,17772642.11,-6874297.89,116799911.1,-21425419.85,138225331,24646940,1.183436953,-0.183436953,7.777421618,-6.451464285,-5.885533495,32.08477565,-38.6790993,เขตพญาไท
64b75d11aa2d4f22592dbb0a,1.04E+11,72 เรส แอนด์ บาร์,ห้างหุ้นส่วนจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,500000,1448411.29,-854939.71,1478688.08,-1881653.66,3360341.74,2303351,2.272515607,-1.272515607,2.320019019,-1.785844979,-57.81744788,45.43555109,-59.02603189,เขตลาดกระบัง
64b75d11aa2d4f22592dbb0b,1.06E+11,99 เรียลเอสเตท ดีเวลลอปเม้นท์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,328000000,41008128.15,-10860648.55,369303470.8,319420022.2,49883448.6,51868776.7,0.13507441,0.86492559,1.216428324,0.156168822,-2.940846596,-3.400115145,-26.48413629,เขตคลองสาน
64b75d11aa2d4f22592dbb0c,1.06E+11,กบินทร์พลาซ่า โฮเต็ล จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,60000000,283125,209309.06,58052698.63,57934681.46,118017.17,73815.94,0.002032932,0.997967068,0.416837687,0.002037073,0.360550095,0.361284562,73.92814481,เขตคลองสาน
64b75d11aa2d4f22592dbb0d,1.06E+11,กมลา เบย์ เวนเจอร์ส จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,705000000,23041167,-279865626,1189013158,-479400019,1668413177,302906793,1.403191517,-0.403191517,72.41009872,-3.480210911,-23.5376391,58.37830933,-1214.633035,เขตวัฒนา
64b75d11aa2d4f22592dbb0e,1.06E+11,กรภพ ขุนพิทักษ์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,4000000,220000,23474.66,22004466.78,3975614.66,18028852.12,196525.34,0.819326926,0.180673074,81.94932782,4.53485905,0.10668134,0.59046618,10.6703,เขตบางกะปิ
64b75d11aa2d4f22592dbb0f,1.06E+11,กรองทอง วิลล่า จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,89797820.38,-36055183.37,1219863377,-25310473.26,1245173850,125853003.8,1.020748613,-0.020748613,13.86641508,-49.1959924,-2.955673893,142.4516365,-40.15151283,เขตวังทองหลาง
